id,name,category,price,color,description,image_url,sizes
1,Alere Top in Silk,Top,700.0,Ivory,"Halter top in heavyweight silk satin, defined by a softly draped v-neckline, low open back, and fringe trim detailing. Finished front pockets, horn buttons, and a self-tie back closure.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/freepik__img1-make-the-fringes-slightly-more-white-less-ivo__32339.jpg?v=1773329600,"XS,S,M,L"
2,Lumen Jacket in Viscose,Outerwear,1500.0,Black,"Relaxed mid-length jacket with a straight silhouette, pointed collar, and dropped shoulders. Designed with oversized patch pockets and a low-slung buckle belt that sits at the hips. Cut in midweight crepe-back viscose satin with a smooth face and cool hand, and finished with horn buttons and cuffed sleeves",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/LUMEN_JACKET_BLACK-0024_3.jpg?v=1773247371,"XS,S,M,L"
3,Sabine Dress in Silk,Dress,890.0,Ivory,"Mini halter dress with a softly pleated neckline, elongated open back, and sweeping asymmetrical hem. Cut in smooth and crisp mid-weight silk twill that lends subtle sculptural structure to the fluid shape.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/SABINE_TUNIC-0038_5.jpg?v=1773245260,"XS,S,M,L"
4,Nivara Dress in Mesh,Dress,1400.0,Paillettes,"Sheer sequin dress with a straight, body-skimming silhouette, low open back, and clean neckline. Cut in lightweight mesh and finished with hand-sewn multicolor paillettes throughout.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/NIVARA_DRESS-0087_1_5d5ada23-c967-4523-9e0c-c0564693cc7e.jpg?v=1773245943,"XS,S,M,L"
5,Alune Dress in Wool Silk,Dress,1390.0,Fire,"A floor length dress with a strapless, straight neckline, fitted bodice, and sculpted hips to create a refined hourglass silhouette. Made in a smooth and dry Italian wool & silk shantung with a lustrous, subtly textured finish.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/ALUNE_DRESS_IN_RED-0081_2.jpg?v=1773246809,"0,2,4,6,8,10"
6,Bastion Jacket in Silk Viscose,Outerwear,990.0,Ivory,"Cropped jacket with a clean crew neckline, sharp structured shoulders, and straight, wrist-length sleeves. Cut in silk canvas with a naturally textured, lustrous finish, and completed with a concealed button closure.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/BASTION_JACKET-0029_1_37b34edc-3992-4268-8757-a557566b47d4.jpg?v=1773244293,"XS,S,M,L"
7,Mira Jacket in Wool Silk,Outerwear,1300.0,Canard,"Tailored jacket with softly structured shoulders, a sharp collar, and a clean concealed front placket. Cut in subtly textured and lustrous french wool silk and cinched as the waist with a self-tie belt.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/26-2059-ALF_MIRA_JACKET_IN_SILK_BLUE_0009_1.jpg?v=1773244915,"XS,S,M,L"
8,Tavi Pant in Wool,Pant,670.0,Bright Navy,"This is a low-rise pant with a wide leg and clean, elongated line. Crafted in fine Italian wool twill for a soft hand and subtle texture, it is finished with surf-inspired double needle contrast top stitching at the waistband and front seams, and a classic cord tie closure.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/TAVI_PANT_NAVY-_0101.jpg?v=1773247008,"0,2,4,6,8,10"
9,Xorina Skirt in Mesh,Skirt,1100.0,Butter,"Tiered mesh skirt in alternating sheer and opaque panels that create a clean, vertical rhythm through the full length silhouette. The mesh offers a light transparency while the structured lower panel lends a subtle lift, lending quiet, floaty movement.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/XORINA_SKIRT_0128.jpg?v=1773254548,"XS,S,M,L"
10,Lumea Dress in Silk,Dress,1030.0,Butter,"Ankle length silk twill dress with a smocked bodice, shirred skirt, and geometric open back. Defined by a dropped waist and lightly gathered skirt for defined shape and volume.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/LUMEA_DRESS_YELLOW-0084_1.jpg?v=1773246080,"XS,S,M,L"
11,Corin Pant in Silk,Pant,1100.0,Oak,Relaxed straight-leg pant with an adjustable drawstring waist and elongated silhouette. Cut in semi-sheer silk ponge that offers and trimmed with delicate french lace along the waistband and down the legs.,https://cdn.shopify.com/s/files/1/0667/6142/5143/files/CORRIN_PANT-0095_1.jpg?v=1773246282,"XS,S,M,L"
12,Vanta Jacket in Ponyhair,Outerwear,6500.0,Leopard,"This is a mid-length leather jacket with a straight silhouette, stand collar, and full-length raglan sleeves. Constructed in smooth Italian ponyhair leather with leather binding at the collar, cuffs, and zipper lip, it is detailed with double topstitch seams and a metal front zipper.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/VANTA_JACKET_LEOPARD-0047_2.jpg?v=1773242406,"XS,S,M,L"
13,Ellery Coat in Cashmere,Coat,2290.0,Fawn Melange,"This is a full-length, double-breasted trench coat with structured shoulders, wide lapels, and a self-belt at the waist. Tailored in brushed hairy cashmere with a smooth viscose lining, and finished with horn buttons, a back vent, and subtle leather trim details.",https://cdn.shopify.com/s/files/1/0667/6142/5143/files/ElleryCoat_Herringbone_FRONT_1.jpg?v=1761693581,"XS,S,M,L"
